12;floating_harbor;3178.00;9.50;1681.00;1.57;9317
85;floating_harbor;3111.82;9.50;1613.88;-0.98;362
126;floating_harbor;2819.00;9.50;1562.00;-1.49;11374
145;floating_harbor;3128.95;9.50;1747.95;-0.79;9228
188;floating_harbor;3126.36;9.50;1636.21;1.25;3288
291;floating_harbor;3564.53;9.50;1140.49;-1.94;2089
326;floating_harbor;4586.00;9.50;1004.00;-3.14;10062
337;floating_harbor;2695.00;9.50;1789.00;-2.36;13003
360;floating_harbor;1647.00;9.50;1506.00;-2.68;6845
488;floating_harbor;1862.88;9.50;1010.82;-0.59;1981
642;floating_harbor;104.00;9.50;600.00;-3.14;13050
656;floating_harbor;3562.96;9.50;1135.77;-1.46;8085
678;floating_harbor;3612.57;9.50;1049.82;-0.23;4932
702;floating_harbor;2400.92;9.50;928.81;0.81;13014
703;floating_harbor;2585.00;9.50;571.00;-1.63;13013
704;floating_harbor;2721.00;9.50;386.00;-3.14;13016
728;floating_harbor;4489.00;9.50;971.00;-4.28;11981
735;floating_harbor;2921.21;9.50;1385.36;-2.82;9909
736;floating_harbor;3030.13;9.50;1408.74;-2.68;11735
743;floating_harbor;4684.70;9.50;1246.21;-2.90;10000
799;floating_harbor;3359.00;9.50;1255.00;1.57;12029
683;floating_harbor;1377.81;9.50;1902.41;-0.41;10605
22;floating_harbor;2871.13;9.50;1381.74;-2.68;9898
59;floating_harbor;2951.63;9.50;1596.47;0.67;6325
103;floating_harbor;3035.74;9.50;1410.13;1.11;11901
146;floating_harbor;3246.10;9.50;1743.85;-4.55;9100
161;floating_harbor;3006.00;9.50;1414.00;-1.57;6793
187;floating_harbor;3215.00;9.50;1272.00;-3.93;6550
190;floating_harbor;3161.13;9.50;1687.26;-0.46;6322
211;floating_harbor;3245.50;9.50;1368.60;-1.19;9902
227;floating_harbor;3401.21;9.50;1452.36;-2.82;3421
231;floating_harbor;3449.07;9.50;1362.01;-4.57;772
268;floating_harbor;3485.26;9.50;837.87;-2.03;4985
272;floating_harbor;2544.09;9.50;866.91;-4.56;7972
297;floating_harbor;2949.00;9.50;705.00;-1.57;1903
306;floating_harbor;1593.24;9.50;928.98;0.97;7936
318;floating_harbor;1650.87;9.50;1156.74;-3.61;1635
332;floating_harbor;1882.00;9.50;1868.00;0.50;4720
354;floating_harbor;3427.60;9.50;1349.50;-0.38;9932
365;floating_harbor;1541.37;9.50;1377.10;-2.00;1480
367;floating_harbor;1430.70;9.50;1363.03;-3.04;7480
475;floating_harbor;1349.63;9.50;1109.14;-3.34;12753
493;floating_harbor;1606.47;9.50;1013.51;1.20;10864
499;floating_harbor;2204.15;9.50;629.35;-1.07;10419
